altitude,latitude,longitude,position_covariance_type,service,status,Time (s)
8.69044008479,1.26730487181,103.790910948,2,5,2,1726755099.2
8.69058327004,1.26730486761,103.79091096,2,5,2,1726755099.24
8.68988048099,1.26730487715,103.790910967,2,5,2,1726755099.3
8.72123636678,1.26730513351,103.790911025,2,5,2,1726755099.34
8.72369818669,1.26730512611,103.790911017,2,5,2,1726755099.4
8.71707410738,1.26730511979,103.790911018,2,5,2,1726755099.45
8.72113153432,1.26730512325,103.790911018,2,5,2,1726755099.49
8.72267048806,1.26730511697,103.790911016,2,5,2,1726755099.54
8.7225736808,1.2673051165,103.790911014,2,5,2,1726755099.6
8.72190160863,1.26730512031,103.790911017,2,5,2,1726755099.64
8.71527507994,1.26730512257,103.790911011,2,5,2,1726755099.69
8.71615485474,1.26730512189,103.790911004,2,5,2,1726755099.75
8.72149458807,1.26730512191,103.790911015,2,5,2,1726755099.79
8.71900139283,1.26730510829,103.79091102,2,5,2,1726755099.85
8.71797129977,1.26730510295,103.790911019,2,5,2,1726755099.9
8.72166174091,1.26730508454,103.790911014,2,5,2,1726755099.94
8.72062364873,1.26730509881,103.790911002,2,5,2,1726755100.02
8.72138891555,1.26730509981,103.790911002,2,5,2,1726755100.05
8.71890539676,1.2673050978,103.790910995,2,5,2,1726755100.09
8.71796881035,1.2673050885,103.790910996,2,5,2,1726755100.14
8.7207856793,1.2673050813,103.790910996,2,5,2,1726755100.19
8.71698896401,1.26730508329,103.790910997,2,5,2,1726755100.24
8.72791172285,1.26730526076,103.790910955,2,5,2,1726755100.3
8.72635520156,1.26730526355,103.790910963,2,5,2,1726755100.35
8.72785154264,1.26730526555,103.790910955,2,5,2,1726755100.4
8.72465689667,1.26730527241,103.790910945,2,5,2,1726755100.44
8.72775036748,1.26730526053,103.790910934,2,5,2,1726755100.5
8.72766648885,1.26730525008,103.790910941,2,5,2,1726755100.54
8.72427573893,1.26730525749,103.79091092,2,5,2,1726755100.59
8.72160313185,1.26730523424,103.790910929,2,5,2,1726755100.64
8.71814830881,1.26730524878,103.790910923,2,5,2,1726755100.7
8.71449131146,1.26730526263,103.790910929,2,5,2,1726755100.74
8.72127747536,1.2673052565,103.79091094,2,5,2,1726755100.79
