altitude,latitude,longitude,Time (s)
17.7776384661,1.27376366244,103.789994899,1714983290.45
17.7768971827,1.27376365934,103.789994903,1714983290.52
17.7769412408,1.27376367579,103.789994894,1714983290.55
17.7765055401,1.27376366857,103.789994909,1714983290.63
17.7745039118,1.27376365492,103.789994918,1714983290.67
17.7742597023,1.27376367509,103.789994918,1714983290.71
17.7782678893,1.27376367984,103.789994933,1714983290.75
17.7736980636,1.27376369611,103.78999492,1714983290.8
17.7743786937,1.27376368193,103.789994918,1714983290.85
17.7740343595,1.2737636763,103.789994914,1714983290.9
17.7759261923,1.27376367451,103.789994936,1714983290.95
17.7746720212,1.27376368827,103.789994924,1714983291.03
17.7778908256,1.27376369542,103.789994929,1714983291.06
17.7725073518,1.27376366611,103.789994918,1714983291.12
17.7745752716,1.27376366184,103.789994918,1714983291.16
17.7721855976,1.27376366669,103.789994912,1714983291.21
17.774194994,1.27376368141,103.789994917,1714983291.25
17.7732909117,1.2737636758,103.789994932,1714983291.31
17.7747138739,1.27376368151,103.789994929,1714983291.36
17.7701531202,1.27376367284,103.789994923,1714983291.42
17.7702148529,1.27376366757,103.789994935,1714983291.46
17.7703921497,1.27376367997,103.789994916,1714983291.53
17.7704579122,1.27376368801,103.78999492,1714983291.56
17.7699340703,1.27376368534,103.789994919,1714983291.61
17.7707540719,1.27376367394,103.789994935,1714983291.66
17.7655275492,1.27376366881,103.789994926,1714983291.71
17.7657687971,1.27376368818,103.789994926,1714983291.76
17.7676789118,1.27376367996,103.789994921,1714983291.81
17.7673585359,1.27376369549,103.789994938,1714983291.86
17.7665953087,1.27376368323,103.789994927,1714983291.91
17.7682268266,1.27376366069,103.789994916,1714983291.96
17.7682577632,1.27376367743,103.789994916,1714983292.05
17.7690975228,1.27376367968,103.789994924,1714983292.06
17.768450195,1.27376366728,103.789994925,1714983292.1
17.7690262953,1.27376365506,103.789994908,1714983292.15
17.7676055133,1.27376365799,103.789994919,1714983292.21
17.7689857613,1.27376367834,103.789994917,1714983292.25
17.7701015044,1.27376366765,103.789994919,1714983292.3
17.7701453008,1.27376366532,103.789994917,1714983292.35
17.7679994954,1.27376368284,103.789994912,1714983292.4
17.7675748775,1.27376367398,103.789994905,1714983292.45
17.7629941227,1.27376368175,103.789994896,1714983292.55
17.7642770316,1.27376369746,103.7899949,1714983292.6
17.7645838084,1.27376370526,103.789994914,1714983292.65
17.7626986764,1.27376367847,103.789994913,1714983292.7
17.7627152298,1.27376367127,103.789994935,1714983292.76
17.7631307654,1.27376365565,103.78999494,1714983292.8
17.7618498234,1.27376365834,103.789994951,1714983292.85
17.764031196,1.27376363012,103.789994952,1714983292.9
17.7725901771,1.27376367441,103.789994939,1714983292.96
17.7794162333,1.27376367986,103.789994888,1714983293.05
17.7745261164,1.27376366937,103.78999487,1714983293.1
17.7692880239,1.27376363915,103.7899949,1714983293.16
17.7674291302,1.27376364324,103.789994918,1714983293.19
17.7688385136,1.27376364035,103.789994913,1714983293.26
17.7740994049,1.27376365477,103.789994887,1714983293.31
17.7789416816,1.27376364895,103.789994861,1714983293.35
17.7745574899,1.2737636266,103.789994898,1714983293.41
17.7656471133,1.27376361634,103.789994943,1714983293.48
17.7639872963,1.2737636494,103.789994932,1714983293.51
17.7677209964,1.27376367963,103.789994912,1714983293.55
17.7628989648,1.27376365423,103.789994885,1714983293.61
17.768906177,1.27376361243,103.789994897,1714983293.65
17.7632968668,1.27376363599,103.789994907,1714983293.7
17.7655879389,1.27376368562,103.789994935,1714983293.75
17.7633651579,1.27376363731,103.789994909,1714983293.81
17.7629849026,1.27376363509,103.78999491,1714983293.85
17.7620128011,1.27376362911,103.789994914,1714983293.9
17.7629430052,1.27376364975,103.789994914,1714983293.95
17.7662355723,1.27376365736,103.789994935,1714983294.04
17.7690490736,1.27376366144,103.789994933,1714983294.07
17.7570126029,1.27376363592,103.789994926,1714983294.14
17.7607556256,1.27376363036,103.789994916,1714983294.18
17.7623112462,1.27376361345,103.789994894,1714983294.21
17.7587158279,1.27376359968,103.789994905,1714983294.26
17.7619929239,1.27376361583,103.789994919,1714983294.31
17.7612528866,1.2737636092,103.789994915,1714983294.36
17.758544731,1.27376364486,103.789994892,1714983294.41
17.7565699583,1.27376365463,103.789994881,1714983294.46
17.7602591924,1.27376367029,103.789994881,1714983294.51
17.7617658237,1.27376367649,103.789994906,1714983294.56
17.7575731101,1.27376368688,103.789994944,1714983294.61
17.7583445236,1.27376368807,103.789994949,1714983294.68
17.751625903,1.2737636664,103.789994913,1714983294.71
17.7561893463,1.27376366322,103.789994926,1714983294.76
